product_id,product_name,quantity_in_stock,warehouse_location,last_restock_date,reorder_level
PROD001,Wireless Headphones,45,WAREHOUSE-A,2024-03-01,20
PROD002,USB-C Cable,8,WAREHOUSE-B,2024-03-05,15
PROD003,Laptop Stand,32,WAREHOUSE-A,2024-03-02,10
PROD004,Mechanical Keyboard,5,WAREHOUSE-C,2024-03-03,12
PROD005,Mouse Pad XL,67,WAREHOUSE-B,2024-03-01,25
PROD006,Webcam HD,12,WAREHOUSE-A,2024-03-04,10
PROD007,Monitor Light Bar,3,WAREHOUSE-C,2024-03-05,8
PROD008,Desk Organizer,28,WAREHOUSE-B,2024-03-02,15
PROD009,Cable Management Kit,52,WAREHOUSE-A,2024-03-03,20
PROD010,Ergonomic Mouse,9,WAREHOUSE-C,2024-03-04,10
